Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/17/2019 9:57
QA-Cooler1-5April,Dev Site,Double,0,22.36,0008-0549,4/17/2019 9:27
QA-Cooler1-5April,Dev Site,Double,0,22.44,0008-0549,4/17/2019 8:57
QA-Cooler1-5April,Dev Site,Double,0,22.38,0008-0549,4/17/2019 8:27
QA-Cooler1-5April,Dev Site,Double,0,22.42,0008-0549,4/17/2019 7:57
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/17/2019 7:28
QA-Cooler1-5April,Dev Site,Double,0,22.52,0008-0549,4/17/2019 6:58
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/17/2019 6:28
QA-Cooler1-5April,Dev Site,Double,0,22.54,0008-0549,4/17/2019 5:58
QA-Cooler1-5April,Dev Site,Double,0,22.42,0008-0549,4/17/2019 5:28
QA-Cooler1-5April,Dev Site,Double,0,22.44,0008-0549,4/17/2019 4:58
QA-Cooler1-5April,Dev Site,Double,0,22.51,0008-0549,4/17/2019 4:28
QA-Cooler1-5April,Dev Site,Double,0,22.51,0008-0549,4/17/2019 3:58
QA-Cooler1-5April,Dev Site,Double,0,22.54,0008-0549,4/17/2019 3:28
QA-Cooler1-5April,Dev Site,Double,0,22.55,0008-0549,4/17/2019 2:58
QA-Cooler1-5April,Dev Site,Double,0,22.52,0008-0549,4/17/2019 2:28
QA-Cooler1-5April,Dev Site,Double,0,22.48,0008-0549,4/17/2019 1:58
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/17/2019 1:28
QA-Cooler1-5April,Dev Site,Double,0,22.51,0008-0549,4/17/2019 0:58
QA-Cooler1-5April,Dev Site,Double,0,22.38,0008-0549,4/16/2019 22:58
QA-Cooler1-5April,Dev Site,Double,0,22.46,0008-0549,4/16/2019 22:28
QA-Cooler1-5April,Dev Site,Double,0,22.44,0008-0549,4/16/2019 21:58
QA-Cooler1-5April,Dev Site,Double,0,22.48,0008-0549,4/16/2019 21:28
QA-Cooler1-5April,Dev Site,Double,0,22.71,0008-0549,4/16/2019 20:58
QA-Cooler1-5April,Dev Site,Double,0,22.66,0008-0549,4/16/2019 20:28
QA-Cooler1-5April,Dev Site,Double,0,22.74,0008-0549,4/16/2019 19:28
QA-Cooler1-5April,Dev Site,Double,0,22.64,0008-0549,4/16/2019 18:58
QA-Cooler1-5April,Dev Site,Double,0,22.64,0008-0549,4/16/2019 18:28
QA-Cooler1-5April,Dev Site,Double,0,22.49,0008-0549,4/16/2019 17:58
QA-Cooler1-5April,Dev Site,Double,0,22.35,0008-0549,4/16/2019 17:28
QA-Cooler1-5April,Dev Site,Double,0,22.27,0008-0549,4/16/2019 16:58
QA-Cooler1-5April,Dev Site,Double,0,22.39,0008-0549,4/16/2019 16:28
QA-Cooler1-5April,Dev Site,Double,0,22.52,0008-0549,4/16/2019 15:58
QA-Cooler1-5April,Dev Site,Double,0,22.44,0008-0549,4/16/2019 14:58
QA-Cooler1-5April,Dev Site,Double,4,22.48,0008-0549,4/16/2019 13:58
QA-Cooler1-5April,Dev Site,Double,11,22.36,0008-0549,4/16/2019 13:28
QA-Cooler1-5April,Dev Site,Double,3,22.4,0008-0549,4/16/2019 12:28
QA-Cooler1-5April,Dev Site,Double,4,22.44,0008-0549,4/16/2019 11:58
QA-Cooler1-5April,Dev Site,Double,4,22.4,0008-0549,4/16/2019 11:28
QA-Cooler1-5April,Dev Site,Double,3,22.49,0008-0549,4/16/2019 10:58
QA-Cooler1-5April,Dev Site,Double,2,,0008-0549,4/16/2019 10:28
QA-Cooler1-5April,Dev Site,Double,0,22.48,0008-0549,4/16/2019 9:58
QA-Cooler1-5April,Dev Site,Double,0,22.58,0008-0549,4/16/2019 9:28
QA-Cooler1-5April,Dev Site,Double,0,22.54,0008-0549,4/16/2019 8:58
QA-Cooler1-5April,Dev Site,Double,0,22.58,0008-0549,4/16/2019 8:28
QA-Cooler1-5April,Dev Site,Double,0,22.55,0008-0549,4/16/2019 7:58
QA-Cooler1-5April,Dev Site,Double,0,22.49,0008-0549,4/16/2019 7:28
QA-Cooler1-5April,Dev Site,Double,0,22.49,0008-0549,4/16/2019 6:58
QA-Cooler1-5April,Dev Site,Double,0,22.55,0008-0549,4/16/2019 6:28
QA-Cooler1-5April,Dev Site,Double,0,22.54,0008-0549,4/16/2019 5:58
QA-Cooler1-5April,Dev Site,Double,0,22.62,0008-0549,4/16/2019 5:28
QA-Cooler1-5April,Dev Site,Double,0,22.71,0008-0549,4/16/2019 4:58
QA-Cooler1-5April,Dev Site,Double,0,,0008-0549,4/16/2019 4:28
QA-Cooler1-5April,Dev Site,Double,0,22.7,0008-0549,4/16/2019 3:58
QA-Cooler1-5April,Dev Site,Double,0,22.74,0008-0549,4/16/2019 3:28
QA-Cooler1-5April,Dev Site,Double,0,22.76,0008-0549,4/16/2019 2:58
QA-Cooler1-5April,Dev Site,Double,0,22.62,0008-0549,4/16/2019 2:28
QA-Cooler1-5April,Dev Site,Double,0,22.77,0008-0549,4/16/2019 1:58
QA-Cooler1-5April,Dev Site,Double,0,22.66,0008-0549,4/16/2019 1:28
QA-Cooler1-5April,Dev Site,Double,0,22.7,0008-0549,4/16/2019 0:58
QA-Cooler1-5April,Dev Site,Double,0,22.67,0008-0549,4/16/2019 0:28
