Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler1-5April,Dev Site,Double,4,6.08,0008-0549,10/16/2019 11:59:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.74,0008-80573,10/16/2019 11:53:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.56,0008-0549,10/16/2019 11:29:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.55,0008-80573,10/16/2019 11:23:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.75,0008-0549,10/16/2019 10:59:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.77,0008-80573,10/16/2019 10:53:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.12,0008-0549,10/16/2019 10:29:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.45,0008-80573,10/16/2019 10:23:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.51,0008-0549,10/16/2019 9:59:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.95,0008-80573,10/16/2019 9:53:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.23,0008-0549,10/16/2019 9:29:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.37,0008-80573,10/16/2019 9:23:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.9,0008-0549,10/16/2019 8:59:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.7,0008-80573,10/16/2019 8:53:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.57,0008-0549,10/16/2019 8:29:15 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.56,0008-80573,10/16/2019 8:23:53 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.71,0008-0549,10/16/2019 7:59:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.7,0008-80573,10/16/2019 7:53:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.2,0008-0549,10/16/2019 7:29:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.52,0008-80573,10/16/2019 7:23:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.53,0008-0549,10/16/2019 6:59:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.03,0008-80573,10/16/2019 6:53:54 PM,
QA-Cooler1-5April,Dev Site,Double,5,6.16,0008-0549,10/16/2019 6:29:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.56,0008-80573,10/16/2019 6:23:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.58,0008-0549,10/16/2019 5:59:16 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.63,0008-80573,10/16/2019 5:53:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.69,0008-0549,10/16/2019 5:29:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.95,0008-80573,10/16/2019 5:23:55 PM,
QA-Cooler1-5April,Dev Site,Double,4,5.95,0008-0549,10/16/2019 4:59:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.49,0008-80573,10/16/2019 4:53:54 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.46,0008-0549,10/16/2019 4:29:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.74,0008-80573,10/16/2019 4:23:55 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.45,0008-0549,10/16/2019 3:59:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.16,0008-80573,10/16/2019 3:53:55 PM,
QA-Cooler1-5April,Dev Site,Double,4,6.09,0008-0549,10/16/2019 3:29:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.55,0008-80573,10/16/2019 3:23:55 PM,
QA-Cooler1-5April,Dev Site,Double,5,6.05,0008-0549,10/16/2019 2:59:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.53,0008-80573,10/16/2019 2:53:56 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.9,0008-0549,10/16/2019 2:29:17 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.8,0008-80573,10/16/2019 2:23:55 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.6,0008-0549,10/16/2019 1:59:18 PM,
QA-Cooler1-5April,Dev Site,Double,0,4.34,0008-80573,10/16/2019 1:53:55 PM,
QA-Cooler1-5April,Dev Site,Double,5,5.9,0008-0549,10/16/2019 1:29:18 PM,
QA-Cooler1-5April,Dev Site,Double,0,3.48,0008-80573,10/16/2019 1:23:55 PM,
