Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date,
QA-Cooler2-5April,Dev Site,Double,6,6.62,0008-0509,10/16/2019 11:52:50 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.55,0008-80526,10/16/2019 11:43:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.79,0008-0509,10/16/2019 11:22:50 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.28,0008-80526,10/16/2019 11:13:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.39,0008-0509,10/16/2019 10:52:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.65,0008-80526,10/16/2019 10:43:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,5.96,0008-0509,10/16/2019 10:22:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,8.08,0008-80526,10/16/2019 10:13:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.01,0008-0509,10/16/2019 9:52:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,8.14,0008-80526,10/16/2019 9:43:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.3,0008-0509,10/16/2019 9:22:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.96,0008-80526,10/16/2019 9:13:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,10/16/2019 8:52:52 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.5,0008-80526,10/16/2019 8:43:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.77,0008-0509,10/16/2019 8:22:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.32,0008-80526,10/16/2019 8:13:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.36,0008-0509,10/16/2019 7:52:51 PM,
QA-Cooler2-5April,Dev Site,Double,0,7.69,0008-80526,10/16/2019 7:43:44 PM,
QA-Cooler2-5April,Dev Site,Double,6,5.93,0008-0509,10/16/2019 7:22:52 PM,
QA-Cooler2-5April,Dev Site,Double,0,8.17,0008-80526,10/16/2019 7:13:45 PM,
QA-Cooler2-5April,Dev Site,Double,6,6.12,0008-0509,10/16/2019 6:52:51 PM,
