Cooler Name,Site Name,Door,Light Intensity,Temperature (°C),Smart Tag Serial Number,Event Date
QA-Cooler3-5April,Dev Site,Double,8,21.54,80152,4/29/2019 10:28
QA-Cooler1-5April,Dev Site,Double,0,21.45,0008-0549,4/29/2019 10:26
QA-Cooler2-5April,Dev Site,Double,6,6.47,0008-0509,4/29/2019 10:25
QA-Cooler1-5April,Dev Site,Double,0,21.14,573,4/29/2019 10:22
QA-Cooler2-5April,Dev Site,Double,7,6.01,0008-0486,4/29/2019 10:22
QA-Cooler3-5April,Dev Site,Double,8,21.64,80152,4/29/2019 9:58
QA-Cooler1-5April,Dev Site,Double,0,21.57,0008-0549,4/29/2019 9:56
QA-Cooler2-5April,Dev Site,Double,6,6.63,0008-0509,4/29/2019 9:55
QA-Cooler1-5April,Dev Site,Double,0,21.29,573,4/29/2019 9:53
QA-Cooler2-5April,Dev Site,Double,8,6.15,0008-0486,4/29/2019 9:52
QA-Cooler3-5April,Dev Site,Double,6,21.68,80152,4/29/2019 9:28
QA-Cooler1-5April,Dev Site,Double,0,21.54,0008-0549,4/29/2019 9:26
QA-Cooler2-5April,Dev Site,Double,6,6.85,0008-0509,4/29/2019 9:25
QA-Cooler1-5April,Dev Site,Double,0,21.25,573,4/29/2019 9:23
QA-Cooler2-5April,Dev Site,Double,7,6.14,0008-0486,4/29/2019 9:22
QA-Cooler3-5April,Dev Site,Double,5,21.79,80152,4/29/2019 8:58
QA-Cooler1-5April,Dev Site,Double,0,21.61,0008-0549,4/29/2019 8:56
QA-Cooler2-5April,Dev Site,Double,6,7.02,0008-0509,4/29/2019 8:55
QA-Cooler1-5April,Dev Site,Double,0,21.37,573,4/29/2019 8:53
QA-Cooler2-5April,Dev Site,Double,7,5.99,0008-0486,4/29/2019 8:52
QA-Cooler3-5April,Dev Site,Double,4,21.84,80152,4/29/2019 8:28
QA-Cooler1-5April,Dev Site,Double,0,21.68,0008-0549,4/29/2019 8:26
QA-Cooler2-5April,Dev Site,Double,6,6.96,0008-0509,4/29/2019 8:25
QA-Cooler1-5April,Dev Site,Double,0,21.4,573,4/29/2019 8:23
QA-Cooler2-5April,Dev Site,Double,7,5.82,0008-0486,4/29/2019 8:22
QA-Cooler3-5April,Dev Site,Double,2,21.75,80152,4/29/2019 7:58
QA-Cooler1-5April,Dev Site,Double,0,21.63,0008-0549,4/29/2019 7:56
QA-Cooler2-5April,Dev Site,Double,6,6.88,0008-0509,4/29/2019 7:55
QA-Cooler1-5April,Dev Site,Double,0,21.3,573,4/29/2019 7:53
QA-Cooler2-5April,Dev Site,Double,7,5.72,0008-0486,4/29/2019 7:52
QA-Cooler3-5April,Dev Site,Double,0,21.82,80152,4/29/2019 7:28
QA-Cooler1-5April,Dev Site,Double,0,21.87,0008-0549,4/29/2019 7:26
QA-Cooler2-5April,Dev Site,Double,6,6.7,0008-0509,4/29/2019 7:25
QA-Cooler1-5April,Dev Site,Double,0,21.72,573,4/29/2019 7:23
QA-Cooler2-5April,Dev Site,Double,7,5.64,0008-0486,4/29/2019 7:22
QA-Cooler3-5April,Dev Site,Double,0,22.21,80152,4/29/2019 6:58
QA-Cooler1-5April,Dev Site,Double,0,22.16,0008-0549,4/29/2019 6:56
QA-Cooler2-5April,Dev Site,Double,6,6.6,0008-0509,4/29/2019 6:55
QA-Cooler1-5April,Dev Site,Double,0,21.96,573,4/29/2019 6:53
QA-Cooler2-5April,Dev Site,Double,8,5.67,0008-0486,4/29/2019 6:52
QA-Cooler3-5April,Dev Site,Double,0,22.28,80152,4/29/2019 6:28
QA-Cooler1-5April,Dev Site,Double,0,22.23,0008-0549,4/29/2019 6:26
QA-Cooler2-5April,Dev Site,Double,6,6.55,0008-0509,4/29/2019 6:25
QA-Cooler1-5April,Dev Site,Double,0,22.08,573,4/29/2019 6:23
QA-Cooler2-5April,Dev Site,Double,7,5.87,0008-0486,4/29/2019 6:22
QA-Cooler3-5April,Dev Site,Double,0,22.3,80152,4/29/2019 5:58
QA-Cooler1-5April,Dev Site,Double,0,22.25,0008-0549,4/29/2019 5:56
QA-Cooler2-5April,Dev Site,Double,6,6.57,0008-0509,4/29/2019 5:55
QA-Cooler1-5April,Dev Site,Double,0,22.02,573,4/29/2019 5:53
QA-Cooler2-5April,Dev Site,Double,7,6.08,0008-0486,4/29/2019 5:52
QA-Cooler3-5April,Dev Site,Double,0,22.36,80152,4/29/2019 5:28
QA-Cooler1-5April,Dev Site,Double,0,22.28,0008-0549,4/29/2019 5:26
QA-Cooler2-5April,Dev Site,Double,6,6.63,0008-0509,4/29/2019 5:25
QA-Cooler1-5April,Dev Site,Double,0,22.05,573,4/29/2019 5:23
QA-Cooler2-5April,Dev Site,Double,7,6.27,0008-0486,4/29/2019 5:22
QA-Cooler3-5April,Dev Site,Double,0,22.32,80152,4/29/2019 4:58
QA-Cooler1-5April,Dev Site,Double,0,22.25,0008-0549,4/29/2019 4:56
QA-Cooler2-5April,Dev Site,Double,6,6.82,0008-0509,4/29/2019 4:55
QA-Cooler1-5April,Dev Site,Double,0,22.02,573,4/29/2019 4:53
QA-Cooler2-5April,Dev Site,Double,7,6.38,0008-0486,4/29/2019 4:52
